200 text/html; charset=UTF-8 https://trafficinfo.westjr.co.jp/chugoku.html
200 text/javascript; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/chunks/app/(pages)/(maintenanceWrapper)/(area)/sanyo/page-bb036d246ac4dc76.js
200 text/plain; charset=UTF-8 https://trafficinfo.westjr.co.jp/ex_index.html.txt?_rsc=e1VeOx5fBi_bPoMn
200 text/plain; charset=UTF-8 https://trafficinfo.westjr.co.jp/h_shinkansen.html.txt?_rsc=e1VeOx5fBi_bPoMn
200 text/javascript; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/chunks/app/(pages)/(maintenanceWrapper)/(area)/ex_index/page-239bd9e18a778296.js
200 text/javascript; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/chunks/app/(pages)/(maintenanceWrapper)/(area)/h_shinkansen/page-6168e424417c539e.js
200 text/plain; charset=UTF-8 https://trafficinfo.westjr.co.jp/terms.html.txt?_rsc=e1VeOx5fBi_bPoMn
200 text/plain; charset=UTF-8 https://trafficinfo.westjr.co.jp/readme.html.txt?_rsc=e1VeOx5fBi_bPoMn
200 text/plain; charset=UTF-8 https://trafficinfo.westjr.co.jp/chugoku_announce.html.txt?_rsc=e1VeOx5fBi_bPoMn
200 image/gif https://trafficinfo.westjr.co.jp/routemap/routemap_hiroshima_20260721_20260721212311.gif
200 text/css; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/css/037278b898fb622d.css
200 text/javascript; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/chunks/6227-0ac8f786cf5b158c.js
200 text/javascript; charset=UTF-8 https://trafficinfo.westjr.co.jp/_asset/15ef760e/_next/static/chunks/app/(pages)/(maintenanceWrapper)/(announce)/chugoku_announce/page-2a7de75eefe7a420.js
200 image/gif https://trafficinfo.westjr.co.jp/routemap/routemap_small_hiroshima_20260721_20260721212311.gif
